"Time","SOL Staked"
2021-10-11 12:00:00,5491185
2021-10-12 00:00:00,5494658
2021-10-12 12:00:00,5501206
2021-10-13 00:00:00,5525117
2021-10-13 12:00:00,5419332
2021-10-14 00:00:00,5438554
2021-10-14 12:00:00,5440895
2021-10-15 00:00:00,5552563
2021-10-15 12:00:00,5557586
2021-10-16 00:00:00,6208294
2021-10-16 12:00:00,6418724
2021-10-17 00:00:00,6761624
2021-10-17 12:00:00,6833119
2021-10-18 00:00:00,6923688
2021-10-18 12:00:00,6986132
2021-10-19 00:00:00,7048749
2021-10-19 12:00:00,7127835
2021-10-20 00:00:00,7290804
2021-10-20 12:00:00,7309271
2021-10-21 12:00:00,7334343
2021-10-22 00:00:00,7339596
2021-10-22 12:00:00,7343857
2021-10-23 00:00:00,7347250
2021-10-23 12:00:00,7334148
2021-10-24 00:00:00,7334207
2021-10-24 12:00:00,7350760
2021-10-25 00:00:00,7349283
2021-10-25 12:00:00,7351377
2021-10-26 00:00:00,7351234
2021-10-26 12:00:00,7351241
2021-10-27 00:00:00,7354686
2021-10-27 12:00:00,7322474
2021-10-28 00:00:00,7282859
2021-10-28 12:00:00,7251481
2021-10-29 00:00:00,7130398
2021-10-29 12:00:00,7254264
2021-10-30 00:00:00,7237352
2021-10-30 12:00:00,7235210
2021-10-31 00:00:00,7234586
2021-10-31 12:00:00,7234313
2021-11-01 00:00:00,7233648
2021-11-01 12:00:00,7214631
2021-11-02 00:00:00,7187365
2021-11-02 12:00:00,7186367
2021-11-03 00:00:00,7137620
2021-11-03 12:00:00,7194179
2021-11-04 00:00:00,7170947
2021-11-04 12:00:00,7169892
2021-11-05 00:00:00,7170786
2021-11-05 12:00:00,7170880
2021-11-06 00:00:00,7174598
2021-11-06 12:00:00,7175031
2021-11-07 00:00:00,7176015
2021-11-07 12:00:00,7174808
2021-11-08 00:00:00,7079949
2021-11-08 12:00:00,7181902
2021-11-09 00:00:00,7128662
2021-11-09 12:00:00,7128375
2021-11-10 00:00:00,7130134
2021-11-10 12:00:00,7130181
2021-11-11 00:00:00,6684733
2021-11-11 12:00:00,7212658
2021-11-12 00:00:00,7210967
2021-11-12 12:00:00,7196029
2021-11-13 00:00:00,7196415
2021-11-13 12:00:00,7192565
2021-11-14 00:00:00,7195365
2021-11-14 12:00:00,7190755
2021-11-15 00:00:00,6682710
2021-11-15 12:00:00,6682497
2021-11-16 00:00:00,6680491
2021-11-16 12:00:00,6683531
2021-11-17 00:00:00,6679859
2021-11-17 12:00:00,6682643
2021-11-18 00:00:00,6683553
2021-11-18 12:00:00,6683531
2021-11-19 00:00:00,6683371
2021-11-19 12:00:00,6683860
2021-11-20 00:00:00,6678954
2021-11-20 12:00:00,6678894
2021-11-21 00:00:00,6681288
2021-11-21 12:00:00,6666823
2021-11-22 00:00:00,6688101
2021-11-22 12:00:00,6685767
2021-11-23 00:00:00,6684643
2021-11-23 12:00:00,6689542
2021-11-24 00:00:00,6689631
2021-11-24 12:00:00,6709250
2021-11-25 00:00:00,6724290
2021-11-25 12:00:00,6728444
2021-11-26 00:00:00,6665308
2021-11-26 12:00:00,6668062
2021-11-27 00:00:00,6668994
2021-11-27 12:00:00,6734202
2021-11-28 00:00:00,6591837
2021-11-28 12:00:00,6587866
2021-11-29 00:00:00,6588787
2021-11-29 12:00:00,6588828
2021-11-30 00:00:00,6734199
2021-11-30 12:00:00,6729490
2021-12-01 00:00:00,6743815
2021-12-01 12:00:00,6748231
2021-12-02 00:00:00,6748172
2021-12-02 12:00:00,6752245
2021-12-03 00:00:00,6784715
2021-12-03 12:00:00,6695914
2021-12-04 00:00:00,6729642
2021-12-04 12:00:00,6790171
2021-12-05 00:00:00,6714418
2021-12-05 12:00:00,6715700
2021-12-06 00:00:00,6917701
2021-12-06 12:00:00,6944185
2021-12-07 00:00:00,6963550
2021-12-07 12:00:00,6965050
2021-12-08 00:00:00,6962986
2021-12-08 12:00:00,6966611
2021-12-09 00:00:00,6957887
2021-12-09 12:00:00,6958518
2021-12-10 00:00:00,6999503
2021-12-10 12:00:00,7008101
2021-12-11 00:00:00,7037058
2021-12-11 12:00:00,7064909
2021-12-12 00:00:00,7068690
2021-12-12 12:00:00,7077203
